Frequency_Hz,Calcium,Event,Boutons,Fibers,Bouton_mean_average,Bouton_variance_average,Fano_of_bouton_averages,Mean_percent_A1,Mean_percent_CI_low,Mean_percent_CI_high,Mean_percent_SEM,Fano_percent_A1,Fano_percent_CI_low,Fano_percent_CI_high,Fano_percent_SEM,Median_MLE_P_A1_excluding_cap20,Var_over_Imean,Var_over_Imean_percent_A1,Var_over_Imean_percent_CI_low,Var_over_Imean_percent_CI_high,Var_over_Imean_percent_SEM
20,1.5 mM,1,21,11,0.1623634704544285,0.02998847909527278,0.18469966804318722,100.0,99.99999999999999,100.00000000000001,5.76028167837884e-15,100.00000000000001,99.99999999999999,100.00000000000001,5.803975970860128e-15,0.1925925925925926,0.18469966804318722,100.00000000000001,99.99999999999999,100.00000000000001,5.803975970860128e-15
20,1.5 mM,2,21,11,0.41160719840797955,0.03325381880632946,0.08079017795351752,253.50973174936397,212.19159299532117,304.13452399682757,23.940058049900372,43.7413769117478,27.98725797073252,61.04982329778235,8.515939453254383,0.1925925925925926,0.08079017795351752,43.7413769117478,27.98725797073252,61.04982329778235,8.515939453254383
20,1.5 mM,3,21,11,0.4261354662705233,0.029452243215180134,0.06911474295472742,262.4577222190685,219.03967477335598,323.8810667728072,26.823845157085696,37.42006885392275,26.443863752317675,54.39750699340385,7.120741601303563,0.1925925925925926,0.06911474295472742,37.42006885392275,26.443863752317675,54.39750699340385,7.120741601303563
20,1.5 mM,4,21,11,0.41154745820147365,0.02759643849129656,0.0670553005281512,253.47293763161156,204.64135788421038,310.19886319214976,28.435071842244085,36.30504658647901,20.60347602040125,67.1362266289272,11.983343427162982,0.1925925925925926,0.0670553005281512,36.30504658647901,20.60347602040125,67.1362266289272,11.983343427162982
20,1.5 mM,5,21,11,0.39298210769121317,0.029774188934758826,0.07576474437903412,242.0384995413816,192.6052127348721,296.69447620310876,27.549846511529918,41.020509230865805,23.12210970816294,72.14588320544355,12.644157556572377,0.1925925925925926,0.07576474437903412,41.020509230865805,23.12210970816294,72.14588320544355,12.644157556572377
20,1.5 mM,6,21,11,0.3898194599703739,0.02908170482198979,0.07460300936284706,240.09061821562062,188.21083888595982,304.38146259904124,29.862371898402298,40.39152325135911,27.422219599342633,65.92508378818468,9.88060926560846,0.1925925925925926,0.07460300936284706,40.39152325135911,27.422219599342633,65.92508378818468,9.88060926560846
20,1.5 mM,7,21,11,0.4085724042865128,0.04295323166864197,0.10513003623837715,251.64059572204647,208.73440471743834,303.5670161524583,25.500635513052682,56.919450561110494,32.425300655006744,82.87352339938366,13.050619146722486,0.1925925925925926,0.10513003623837715,56.919450561110494,32.425300655006744,82.87352339938366,13.050619146722486
20,1.5 mM,8,21,11,0.3907095580707703,0.05464257220313501,0.13985471067804656,240.63883149161498,192.41625443249688,286.7421249229642,25.130513086904116,75.72006607253088,40.56610443031151,120.55060039656242,20.137651327698684,0.1925925925925926,0.13985471067804656,75.72006607253088,40.56610443031151,120.55060039656242,20.137651327698684
20,1.5 mM,9,21,11,0.38068271350585464,0.031508776445216644,0.0827691285349947,234.46327701692175,190.84415856612534,278.5409884894054,23.9376636796622,44.81281932550159,23.701773990853894,83.85258152614574,15.113802209121316,0.1925925925925926,0.0827691285349947,44.81281932550159,23.701773990853894,83.85258152614574,15.113802209121316
20,1.5 mM,10,21,11,0.37056121815306003,0.021540765080677725,0.05813011190982303,228.2294269246158,180.30019781445137,284.7626929015023,28.207388982851015,31.472775520219564,14.174980977825845,78.10034171160878,17.08633796784758,0.1925925925925926,0.05813011190982303,31.472775520219564,14.174980977825845,78.10034171160878,17.08633796784758
20,2.5 mM,1,192,54,0.3236872337476486,0.06731953110854554,0.20797709668410602,99.99999999999999,99.99999999999999,100.00000000000001,6.114868121885963e-15,100.0,99.99999999999999,100.00000000000001,5.730967077515254e-15,0.3333333333333333,0.20797709668410602,100.0,99.99999999999999,100.00000000000001,5.730967077515254e-15
20,2.5 mM,2,192,54,0.7656169147862449,0.10453244259445278,0.13653361175234424,236.52984577795596,221.0525546279922,256.85459383608395,8.826141248920939,65.64838817791728,50.530927584681024,83.08835074198232,8.315794664751108,0.3333333333333333,0.13653361175234424,65.64838817791728,50.530927584681024,83.08835074198232,8.315794664751108
20,2.5 mM,3,192,54,0.7704242265329914,0.1451659018127881,0.18842333459067537,238.01501764929836,218.40776572133862,260.50232093465445,10.746445234224753,90.59811757872039,51.255592150661236,138.41284145242813,22.851257509013152,0.3333333333333333,0.18842333459067537,90.59811757872039,51.255592150661236,138.41284145242813,22.851257509013152
20,2.5 mM,4,192,54,0.7530440322657728,0.15721654685530326,0.20877470654971822,232.6455768882307,210.65082129084522,256.0051973787963,11.562602959612384,100.38350851047012,46.5972328140689,165.1240885217736,30.21759487813659,0.3333333333333333,0.20877470654971822,100.38350851047012,46.5972328140689,165.1240885217736,30.21759487813659
20,2.5 mM,5,192,54,0.7468282983564579,0.17391737684276323,0.2328746476606504,230.72528678678026,207.83351372833417,256.6591312612787,12.42485232257308,111.97129461536863,49.62170234616907,187.95660105546526,35.72967393746179,0.3333333333333333,0.2328746476606504,111.97129461536863,49.62170234616907,187.95660105546526,35.72967393746179
20,2.5 mM,6,192,54,0.7344512780098295,0.17557882692563406,0.23906123140177069,226.9015275969823,202.26768591114867,253.8185817932494,12.976061603791589,114.94594126625299,44.417017562813115,205.4127696620288,42.930011551779906,0.3333333333333333,0.23906123140177069,114.94594126625299,44.417017562813115,205.4127696620288,42.930011551779906
20,2.5 mM,7,192,54,0.7285948245320942,0.18860152422525925,0.25885652474457216,225.09223366532822,199.71115352794007,252.60232741097482,13.602938408900213,124.46395726821127,43.4956570111619,265.10719555005033,67.65235523861979,0.3333333333333333,0.25885652474457216,124.46395726821127,43.4956570111619,265.10719555005033,67.65235523861979
20,2.5 mM,8,192,54,0.7330800769633203,0.16384954697986207,0.2235083889587962,226.47790846605972,201.1240201202753,255.23820195509725,13.79897314504904,107.46778973373232,46.58880361514744,181.1007964115691,35.51269218659342,0.3333333333333333,0.2235083889587962,107.46778973373232,46.58880361514744,181.1007964115691,35.51269218659342
20,2.5 mM,9,192,54,0.746755408754724,0.14677972761924477,0.19655663139288407,230.70276825835703,204.814975370248,259.38182492004324,14.108435736364287,94.50878703794564,48.63451391035365,151.0544983789742,26.112072001379143,0.3333333333333333,0.19655663139288407,94.50878703794564,48.63451391035365,151.0544983789742,26.112072001379143
20,2.5 mM,10,192,54,0.7346440914654734,0.13841546571311972,0.18841159592940784,226.96109542528728,199.06901119463302,259.4983370551744,15.380019407804268,90.5924733700769,46.48040312624325,150.78360214344556,28.66269694533677,0.3333333333333333,0.18841159592940784,90.5924733700769,46.48040312624325,150.78360214344556,28.66269694533677
20,4 mM,1,21,11,1.1862873766376816,0.14009809717083804,0.11809794146838258,100.0,99.99999999999999,100.00000000000001,4.284733912779808e-15,100.0,99.99999999999999,100.00000000000001,4.205380120978237e-15,0.7,0.11809794146838258,100.0,99.99999999999999,100.00000000000001,4.205380120978237e-15
20,4 mM,2,21,11,2.0084527404581007,0.29524288471970755,0.14700016523782714,169.30575002413826,155.1346394710775,181.04737371348108,6.478316733831114,124.47309699905507,99.46308699548388,155.85020520049915,13.37371102159066,0.7,0.14700016523782714,124.47309699905507,99.46308699548388,155.85020520049915,13.37371102159066
20,4 mM,3,21,11,1.8079218000975232,0.21957454920779806,0.12145135325872708,152.40167228464932,131.24040953802282,176.27454095189287,11.814698066354014,102.83951756368445,83.93809149728128,131.42297348021575,11.835063169988087,0.7,0.12145135325872708,102.83951756368445,83.93809149728128,131.42297348021575,11.835063169988087
20,4 mM,4,21,11,1.7217229337422002,0.264100228022289,0.15339298957252182,145.13540038014352,125.17930757012806,167.76253790813854,11.418898544404462,129.88625175451386,93.3486398897835,175.86912806669403,20.46447105744871,0.7,0.15339298957252182,129.88625175451386,93.3486398897835,175.86912806669403,20.46447105744871
20,4 mM,5,21,11,1.618067610382444,0.22403710382822686,0.13845966781034186,136.3976083913635,117.33325022573108,156.04564821935855,10.13272017483005,117.24138972177644,94.27671422391016,174.97481012458994,21.420859326875046,0.7,0.13845966781034186,117.24138972177644,94.27671422391016,174.97481012458994,21.420859326875046
20,4 mM,6,21,11,1.566214969606146,0.2800740275625695,0.17882221342386947,132.0266067439157,111.46040667471291,153.0686112251915,10.523454550865509,151.4185693674806,119.04750682040878,220.06648694254372,27.06112694551003,0.7,0.17882221342386947,151.4185693674806,119.04750682040878,220.06648694254372,27.06112694551003
20,4 mM,7,21,11,1.6336916498180212,0.21775902468824856,0.1332926104583475,137.7146618931769,117.44734269640426,158.0089647474012,10.23462171323329,112.86615905496784,82.07555546177582,198.79600479392238,31.18556788557313,0.7,0.1332926104583475,112.86615905496784,82.07555546177582,198.79600479392238,31.18556788557313
20,4 mM,8,21,11,1.540590844223012,0.2015027515537921,0.13079576080138192,129.8665799335689,112.26828086250812,147.32229378398932,8.820696801301485,110.75193959786236,92.04580427158238,154.52346741767684,16.45801566446376,0.7,0.13079576080138192,110.75193959786236,92.04580427158238,154.52346741767684,16.45801566446376
20,4 mM,9,21,11,1.5861082841558858,0.22942589955185383,0.144647059626167,133.7035456494045,114.18308178899477,153.6098748404057,9.940525358571884,122.48059350373367,101.47492125249427,182.26772707026547,22.277841493255007,0.7,0.144647059626167,122.48059350373367,101.47492125249427,182.26772707026547,22.277841493255007
20,4 mM,10,21,11,1.5976678085338,0.2649836576468081,0.1658565417863598,134.6779743254204,114.40938328886469,155.19121338820477,10.411191524909283,140.43982454238056,99.34592513376496,197.5876931980587,25.54706831032289,0.7,0.1658565417863598,140.43982454238056,99.34592513376496,197.5876931980587,25.54706831032289
50,1.5 mM,1,15,8,0.12742084343231183,0.021550431967374047,0.16912799654180607,100.0,99.99999999999999,100.00000000000001,3.577811074766564e-15,99.99999999999999,99.99999999999999,100.00000000000001,5.475459980000436e-15,0.3,0.16912799654180607,99.99999999999999,99.99999999999999,100.00000000000001,5.475459980000436e-15
50,1.5 mM,2,15,8,0.4732434849731597,0.03349128550807598,0.070769670521667,371.40194039333517,272.7100632504671,561.0983722333466,76.49825962151719,41.84385315779089,21.0435164041159,88.10845940615333,18.66827495214759,0.3,0.070769670521667,41.84385315779089,21.0435164041159,88.10845940615333,18.66827495214759
